,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
0,18,0,18,0,0.0,14,2,1,625.6
1,25,0,14,0,0.0,13,0,1,191.6
2,30,0,7,1,4.0,7,6,1,248.6
3,8,0,23,1,2.0,9,2,1,476.61
4,4,0,18,1,1.0,4,9,1,467.6
5,33,0,23,1,7.0,8,13,1,567.21
6,4,1,7,0,0.0,6,13,1,178.6
7,56,0,6,1,1.0,4,12,1,114.58
8,43,0,15,1,2.0,5,9,1,567.1
9,32,1,13,1,1.0,3,11,1,107.6
10,27,0,8,0,0.0,1,9,1,254.61
11,33,1,10,1,1.0,9,4,1,168.6
12,36,0,16,1,2.0,4,10,1,447.6
13,58,0,6,1,2.0,5,11,1,272.6
14,9,0,7,1,2.0,0,11,1,362.6
15,14,1,18,0,0.0,6,1,1,73.6
16,14,0,20,0,0.0,0,1,1,358.6
17,32,0,6,1,4.0,13,9,1,269.58
18,9,0,10,1,1.0,1,10,1,481.6
19,38,1,24,1,6.0,15,1,1,321.2
20,36,0,6,1,4.0,15,14,1,579.2
21,45,1,10,0,0.0,15,4,1,129.6
22,17,0,9,1,1.0,15,14,1,677.6
23,10,0,11,1,3.0,11,13,1,473.6
24,14,1,18,1,1.0,4,1,1,212.6
25,16,0,1,1,1.0,3,10,1,457.6
26,57,1,9,0,0.0,2,10,1,157.1
27,30,0,11,0,0.0,6,13,1,278.6
28,6,0,9,1,2.0,14,9,1,283.58
29,56,0,23,1,3.0,9,1,1,266.6
30,3,0,7,1,1.0,7,3,1,294.6
31,48,0,9,0,0.0,6,4,1,217.6
32,35,0,18,1,1.0,6,14,1,431.61
33,60,0,23,0,0.0,9,14,1,429.6
34,12,0,5,0,0.0,3,2,1,348.6
35,34,1,6,1,2.0,5,7,1,79.6
36,19,0,9,0,0.0,14,5,1,248.6
37,8,0,6,1,3.0,9,2,1,483.61
38,55,0,8,1,4.0,6,11,1,294.1
39,10,0,7,0,0.0,11,13,1,228.6
40,11,1,17,1,4.0,6,9,1,158.6
41,38,0,23,0,0.0,4,9,1,278.6
42,30,0,9,1,3.0,4,14,1,294.6
43,25,0,24,1,3.0,3,11,1,268.6
44,39,1,10,0,0.0,1,10,1,73.6
45,18,0,20,1,6.0,6,15,1,407.2
46,28,0,6,1,2.0,10,7,1,491.6
47,8,0,5,1,1.0,4,2,1,312.6
48,57,0,5,0,0.0,0,2,1,188.6
49,36,1,11,1,1.0,13,7,1,366.6
50,32,0,11,0,0.0,8,9,1,371.6
